"Path","From","To","Action"
"C:\Users\haruurara\MyProject\SBOP2\SboCli\Release\BuildLog.htm.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCli\Release\SboCli.exe.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCli\Release\SboCli.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCli\SboCli.vcxproj.filters.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCli\SboCli.vcxproj.user.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Debug\SboCopy.exe.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Debug\SboCopy.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Release\BuildLog.htm.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Release\SboCopy.exe.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Release\SboCopy.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Release\SboCopy.tlog\CL.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Release\SboCopy.tlog\CL.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Release\SboCopy.tlog\CL.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Release\SboCopy.tlog\link.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Release\SboCopy.tlog\link.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\Release\SboCopy.tlog\link.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\SboCopy.vcxproj.filters.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboCopy\SboCopy.vcxproj.user.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Debug\SboGrpData.dll.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Debug\SboGrpData.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\BuildLog.htm.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.dll.recipe.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.log.bak-utf-8_bom","UTF-8 BOM","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.tlog\CL.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.tlog\CL.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.tlog\CL.write.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.tlog\rc.command.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
"C:\Users\haruurara\MyProject\SBOP2\SboGrpData\Release\SboGrpData.tlog\rc.read.1.tlog.bak-utf-16_le","UTF-16 LE","UTF-8","converted"
